"MouseID","DYRK1A_N","ITSN1_N","BDNF_N","NR1_N","NR2A_N","pAKT_N","pBRAF_N","pCAMKII_N","pCREB_N","pELK_N","pERK_N","pJNK_N","PKCA_N","pMEK_N","pNR1_N","pNR2A_N","pNR2B_N","pPKCAB_N","pRSK_N","AKT_N","BRAF_N","CAMKII_N","CREB_N","ELK_N","ERK_N","GSK3B_N","JNK_N","MEK_N","TRKA_N","RSK_N","APP_N","Bcatenin_N","SOD1_N","MTOR_N","P38_N","pMTOR_N","DSCR1_N","AMPKA_N","NR2B_N","pNUMB_N","RAPTOR_N","TIAM1_N","pP70S6_N","NUMB_N","P70S6_N","pGSK3B_N","pPKCG_N","CDK5_N","S6_N","ADARB1_N","AcetylH3K9_N","RRP1_N","BAX_N","ARC_N","ERBB4_N","nNOS_N","Tau_N","GFAP_N","GluR3_N","GluR4_N","IL1B_N","P3525_N","pCASP9_N","PSD95_N","SNCA_N","Ubiquitin_N","pGSK3B_Tyr216_N","SHH_N","BAD_N","BCL2_N","pS6_N","pCFOS_N","SYP_N","H3AcK18_N","EGR1_N","H3MeK4_N","CaNA_N","Genotype","Treatment","Behavior"
"309_1","0.5036438839999999","0.7471932240000001","0.4301753","2.81632854","5.990151664","0.218830018","0.17756549100000002","2.373744337","0.232223754","1.7509355919999998","0.6879062440000001","0.306381721","0.402698444","0.29692731899999997","1.022060272","0.6056726410000001","1.877683671","2.308745322","0.44159937","0.859365767","0.416289147","0.369608036","0.178944258","1.866358085","3.685247193","1.537226709","0.264526295","0.319676975","0.813866457","0.16584597199999998","0.453909789","3.037620642","0.369509553","0.458538507","0.335335828","0.8251920429999999","0.576915501","0.448099271","0.58627142","0.39472129200000006","0.33957061299999997","0.482863896","0.294169785","0.182150472","0.84272515","0.192608387","1.443090669","0.29469997","0.354604528","1.339069956","0.170118794","0.15910244699999998","0.18885166","0.106305209","0.144989339","0.176667682","0.125190375","0.115290892","0.228043456","0.14275561","0.430957458","0.247537821","1.603309981","2.014874607","0.108234339","1.044979186","0.831556503","0.18885166","0.122652046","","0.106305209","0.108335872","0.427099198","0.114783227","0.131790029","0.128185603","1.67565235","Control","Memantine","C/S"
"309_2","0.51461708","0.689063548","0.411770344","2.789514042","5.6850378610000005","0.211636155","0.172817023","2.292149909","0.226972108","1.596376881","0.69500623","0.299051088","0.3859867729999999","0.281318892","0.956675932","0.587558708","1.725773986","2.043036519","0.445221892","0.8346592540000001","0.400364229","0.356177514","0.17367967","1.761046679","3.48528707","1.509249497","0.25572702","0.304418672","0.7805041690000001","0.157193521","0.430940286","2.921882488","0.342279306","0.423559858","0.32483465899999997","0.761717627","0.545097287","0.420876066","0.545097287","0.368254577","0.321959168","0.454519314","0.27643055699999997","0.18208630899999995","0.847614612","0.194815275","1.439459795","0.29405981600000003","0.354548277","1.306323088","0.171427093","0.158128945","0.184570009","0.106592156","0.150470868","0.178309014","0.13427507","0.118234503","0.238073062","0.142036635","0.4571561629999999","0.257632205","1.6717375559999998","2.004605195","0.109748525","1.009883059","0.849270413","0.200403601","0.11668219","","0.106592156","0.10431543","0.441581289","0.111973507","0.13510297","0.1311187","1.743609645","Control","Memantine","C/S"
"309_3","0.509183088","0.730246795","0.418308781","2.687201071","5.622058542","0.209010905","0.175722212","2.283336522","0.230246795","1.561316243","0.677348383","0.29127606699999997","0.38100248700000006","0.28171035","1.003634972","0.602448823","1.731872967","2.017983547","0.467667878","0.814329443","0.399846949","0.36808877","0.173904725","1.7655442890000002","3.571455902","1.5012435430000002","0.259613545","0.3117467","0.785154008","0.160895351","0.423187297","2.9441362160000004","0.343696193","0.425004783","0.32485173100000003","0.7570308020000001","0.5436196670000001","0.404629807","0.552994069","0.363879855","0.31308590000000003","0.447197245","0.25664817300000003","0.18438769","0.856165847","0.200737337","1.52436418","0.301880744","0.386086771","1.279600342","0.185456294","0.148696303","0.190532165","0.108303056","0.145330199","0.17621286600000002","0.132560376","0.117760205","0.244817269","0.142444967","0.510472323","0.255343022","1.663549904","2.016830519","0.108196196","0.996847617","0.8467086979999999","0.193684548","0.118508228","","0.108303056","0.106219278","0.435776875","0.111882881","0.13336182900000002","0.127431075","1.926426587","Control","Memantine","C/S"
"309_4","0.442106692","0.61707615","0.35862630700000003","2.466947197","4.97950319","0.222885842","0.176462604","2.152300801","0.207004208","1.595086195","0.583276775","0.296728655","0.37708701","0.313831953","0.875390254","0.520293199","1.566852179","2.132754174","0.477670694","0.7277046290000001","0.385638659","0.362970001","0.179448894","1.286276639","2.970137098","1.419709515","0.259535768","0.279218135","0.734491652","0.162209855","0.410614904","2.500203611","0.34450929799999996","0.429211348","0.33012080899999996","0.746979775","0.54676259","0.3868603229999999","0.547848514","0.366770734","0.328491923","0.442649654","0.398534003","0.161767701","0.760233521","0.184169439","1.612382051","0.29638178","0.290679519","1.19876451","0.15979906300000002","0.16611228","0.185323468","0.103183762","0.14065576","0.163804222","0.123209558","0.117439413","0.234946711","0.145068223","0.430995859","0.251103116","1.484624262","1.957233046","0.119883239","0.990224696","0.833276763","0.192111873","0.13278121","","0.103183762","0.111261965","0.391690992","0.13040526800000002","0.147444165","0.146901093","1.700563438","Control","Memantine","C/S"
"309_5","0.434940244","0.617429838","0.358802202","2.36578488","4.718678663","0.213105949","0.173626964","2.134013697","0.192157916","1.504229891","0.550960118","0.286961192","0.363502081","0.27796428100000004","0.864912045","0.507989795","1.480059084","2.013696791","0.483416141","0.687793742","0.367530549","0.355310863","0.17483550399999995","1.324694508","2.8963340939999997","1.35987646","0.25070498199999997","0.273667249","0.702699073","0.15482744699999998","0.398549752","2.456559688","0.329125822","0.408755203","0.313414798","0.691956493","0.5368604810000001","0.360816436","0.512823956","0.35155096","0.312206258","0.419094938","0.393447026","0.16020025","0.768112919","0.185718259","1.645807259","0.29682937","0.309345015","1.206994855","0.164650257","0.16068697","0.188221388","0.104783757","0.141983034","0.167709637","0.136837714","0.116047838","0.25552774300000003","0.14087053300000002","0.481226533","0.25177305","1.534835211","2.009108608","0.119524406","0.997774997","0.878667779","0.205604228","0.129954109","","0.104783757","0.110693923","0.4341538029999999","0.118481435","0.14031428199999998","0.148379919","1.839730218","Control","Memantine","C/S"
"309_6","0.447506385","0.62817583","0.36738809","2.38593897","4.807635435","0.218577766","0.176233365","2.14128243","0.195187525","1.442398172","0.566339562","0.289823901","0.363892996","0.26683694","0.85912085","0.5213066270000001","1.538244388","1.968275306","0.495899987","0.672402205","0.36940449","0.357171663","0.179728458","1.227449926","2.956983466","1.447909665","0.250840167","0.284043554","0.704395752","0.156875924","0.391047184","2.467132679","0.327597795","0.404489851","0.29627638100000003","0.674418605","0.539723081","0.354214276","0.51431644","0.34722408899999996","0.303132141","0.412824304","0.382578304","0.162330317","0.77969457","0.186792986","1.634615385","0.28803733","0.332367081","1.12344457","0.175692873","0.150593891","0.183823529","0.106476244","0.13956448","0.17484445699999998","0.130514706","0.115243213","0.236849548","0.13645362","0.478577489","0.244485294","1.507777149","2.003535068","0.120687217","0.920178167","0.843679299","0.190469457","0.131575226","","0.106476244","0.109445701","0.439833145","0.11665724","0.140766403","0.14218043","1.816388575","Control","Memantine","C/S"
"309_7","0.428032684","0.573695789","0.342708988","2.334223759","4.473130107","0.225172847","0.184003771","2.012413576","0.195788812","1.612036455","0.509899434","0.299654305","0.37115022","0.277655563","0.844280327","0.485386549","1.4948145819999998","2.01257071","0.49748585799999995","0.6461345070000001","0.395977373","0.359522313","0.186046512","1.10779384","2.599622879","1.364236329","0.261470773","0.276241358","0.6931175359999999","0.162162162","0.405562539","2.288812068","0.345380264","0.427561282","0.333909491","0.757542426","0.5586109370000001","0.368950346","0.544626021","0.360307982","0.329352608","0.4204902579999999","0.465116279","0.145565999","0.70224765","0.177033102","1.773845525","0.292194524","0.26685737600000003","1.03228443","0.147854516","0.149816101","0.181610135","0.097834083","0.142787086","0.15185942","0.115978749","0.114752758","0.22451982","0.144830405","0.415529219","0.238005721","1.338782182","1.861708214","0.117041275","1.028769922","0.798283613","0.181610135","0.141806293","","0.097834083","0.111483449","0.406293421","0.13722926","0.156681651","0.157498978","1.5284838580000002","Control","Memantine","C/S"
"309_8","0.416922604","0.564035627","0.327702703","2.260135135","4.268734643999999","0.214834152","0.179668305","2.007985258","0.18980344","1.4246007369999998","0.501074939","0.28301597100000003","0.35887592100000004","0.256449631","0.818642506","0.478501229","1.409398034","1.85703317","0.48955774","0.628071253","0.360718673","0.360718673","0.17183660899999997","1.077395577","2.550214988","1.316646192","0.250614251","0.265356265","0.676597052","0.159551597","0.375460688","2.2811732190000003","0.328163391","0.40724815700000006","0.322788698","0.695178133","0.5250307129999999","0.340141278","0.50982801","0.338298526","0.298525799","0.39296683","0.44041769","0.147848101","0.681940928","0.174599156","1.795780591","0.288523207","0.288607595","1.152067511","0.152405063","0.154514768","0.182869198","0.099493671","0.140168776","0.158734177","0.119578059","0.116202532","0.246835443","0.13443038","0.451139241","0.24143459899999997","1.386075949","1.969451477","0.116877637","0.943544304","0.843966245","0.191561181","0.141012658","","0.099493671","0.113080169","0.382531646","0.123375527","0.155611814","0.159409283","1.6526582280000002","Control","Memantine","C/S"
"309_9","0.386310905","0.538428074","0.317720418","2.125725058","4.063950116","0.207221578","0.16777842199999998","1.861513921","0.180684455","1.261890951","0.476653132","0.266966357","0.337006961","0.242604408","0.748259861","0.4589617170000001","1.341792343","1.822070766","0.464472158","0.600638051","0.326566125","0.32888631100000004","0.170388631","1.008845708","2.434599768","1.252030162","0.230423434","0.252610209","0.635585847","0.154147332","0.351218097","2.139211137","0.309164733","0.3784802779999999","0.294518561","0.636890951","0.484918794","0.32337587","0.479988399","0.312064965","0.279292343","0.357598608","0.421693735","0.150120856","0.7108080109999999","0.167472376","1.805248619","0.294457873","0.294112569","1.107907459","0.158839779","0.148653315","0.178522099","0.105145028","0.13777624300000002","0.160393646","0.123964088","0.116799033","0.233857044","0.132596685","0.455973757","0.236015193","1.404178177","1.958736188","0.11386395","0.94690953","0.83218232","0.186377762","0.139589088","","0.105145028","0.105490331","0.435687155","0.125172652","0.152710635","0.158235497","1.834599448","Control","Memantine","C/S"
"309_10","0.380827447","0.4992936429999999","0.362462159","2.096266398","3.5985872860000003","0.22764884","0.188092836","1.7178607469999998","0.188092836","1.414328961","0.455499495","0.324117053","0.368314834","0.283753784","0.7434914229999999","0.44419778","1.3553985869999998","1.7832492430000002","0.493037336","0.570534813","0.335418769","0.392129162","0.198385469","0.906155399","2.169929364","1.248234107","0.257719475","0.301513623","0.636730575","0.174369324","0.380423814","1.922906155","0.373965691","0.433501514","0.394349142","0.742078708","0.553178607","0.357214934","0.5309788089999999","0.358627649","0.336024218","0.426034309","0.505751766","0.14006295","0.637927158","0.175584532","1.926596223","0.301821043","0.24977518","0.930980216","0.145458633","0.166254496","0.17108812899999998","0.09330036","0.12443795","0.150629496","0.117580935","0.126573741","0.224145683","0.148156475","0.410971223","0.244829137","1.288669065","1.818907374","0.13995054","0.970323741","0.8033947840000001","0.189523381","0.183678058","","0.09330036","0.116906475","0.414793165","0.146133094","0.188848921","0.192333633","1.516861511","Control","Memantine","C/S"
